A349#Phong Thiet Bi#1#20#hoat dong#may chieu, may lanh
A350#Phong Luyen Nghe#2#15#hoat dong#may tinh, ban ghe
A351#Phong Noi Chuyen#3#25#dang bao tri#may chieu, ban ghi
A352#Phong Tu Vung#1#20#hoat dong#may tinh, loai doan
A353#Phong Giao Tiep#2#18#hoat dong#ban ghe, loa
A354#Phong Nghe Nhin#3#30#hoat dong#may tinh, may chieu
A355#Phong Doc Hieu#1#22#dang bao tri#may lanh, ban ghi
A356#Phong Thuc Hanh#2#25#hoat dong#may chieu, ban ghe
A357#Phong Luyen Phat Am#3#15#dang bao tri#loa, may lanh
A358#Phong Ky Nang Doc#1#30#hoat dong#may tinh, may lanh
B238#Phong Quan Ly Hoc Vien#2#18#hoat dong#ban ghe, loa
B239#Phong Bao Luu Ket Qua#3#20#dang bao tri#may chieu, may tinh
B240#Phong Luyen Viet#1#22#hoat dong#may chieu, ban ghe
B241#Phong Ghi Chu Bai Hoc#2#28#hoat dong#loa, ban ghi
B242#Phong Kiem Tra#3#15#hoat dong#may lanh, may tinh
B243#Phong On Bai#1#25#dang bao tri#may chieu, loa
B244#Phong Ho Tro Hoc Vien#2#30#hoat dong#ban ghe, may chieu
B245#Phong Tu Van Khoa Hoc#3#18#hoat dong#may lanh, may chieu
B246#Phong Thuc Hanh May Tinh#1#20#hoat dong#may tinh, loa
B247#Phong Luyen De Thi#2#25#dang bao tri#ban ghe, may tinh
C128#Phong Tin Hoc Anh Van#3#22#hoat dong#may chieu, may lanh
C129#Phong Nghien Cuu Tai Lieu#1#20#dang bao tri#loa, ban ghi
C130#Phong Hoc Nghe#2#15#hoat dong#may chieu, may lanh
C131#Phong Lop Hoc Giao Tiep#3#30#hoat dong#may tinh, loa
C132#Phong Hoc Nhom#1#25#hoat dong#ban ghe, may chieu
C133#Phong On Tap Thi Cu#2#18#dang bao tri#loa, may lanh
C134#Phong Hoc Luyen Thi#3#20#hoat dong#may tinh, ban ghe
C135#Phong Phat Trien Ky Nang#1#22#hoat dong#may chieu, loa
C136#Phong Kiem Tra Nhanh#2#25#hoat dong#may lanh, may chieu
C137#Phong Thao Luan Nhom#3#30#dang bao tri#ban ghe, loa
